#{"t_start": 1780877043.7068098, "env_id": "None"}
r,l,t
4960.5,167,355.168004
4414.0,166,355.682076
4946.5,189,356.253736
4999.0,140,356.706361
5362.5,173,357.253471
6026.5,148,357.691816
5748.5,143,358.159276
5605.5,176,358.719608
5216.0,164,359.272476
4512.0,169,359.834761
4491.5,201,360.516718
4962.5,174,361.0867
5461.0,128,361.485831
5170.5,150,361.948964
5979.0,163,362.451698
5342.5,174,363.002745
5263.5,160,363.492819
5016.0,174,364.031628
5651.0,152,364.558591
5235.0,159,365.109887
5937857.0,201,373.228314
2354.5,201,373.650674501755.5,201,374.057904472437.5,201,374.484825982347.0,201,374.896665601216.5,201,375.318404531454.0,201,375.753545572087.5,201,376.176715101.0,168,369.63889
4708.0,163,370.136206
4612628.5,201,379.460892
1487.0,201,379.925196
1654.5,201,380.368798
877.0,201,380.797926
1317.0,201,381.290671
1529.0,201,381.720293
3238.0,201,382.14796
2201.5,201,382.58098
596.0,201,383.00124
1247.0,201,383.429247
2527.5,201,383.846766
2284.0,201,386.30155
3904.5,201,386.731032
2969.5,201,387.144648
2239.0,201,387.554285
3098.0,201,387.964431
1223.5,201,388.38839
1580.5,201,388.814798
3158.5,201,389.213631
2650.0,201,389.643825
2796.0,201,390.087946
1930.5,201,392.478811
2906.5,201,392.897285
2109.5,201,393.314679
1879.5,201,393.718974
2346.5,201,394.121601
1586.5,201,394.524264
1584.5,201,394.918843
2864.5,201,395.347116
2109.0,201,395.780426
3586.0,201,396.204245
2573.5,201,398.644184
2386.5,201,399.100647
3022.0,201,399.565888
2238.0,201,400.03072
3180.0,201,400.482482
1390.5,201,400.935514
3061.5,201,401.399597
2233.5,201,401.838201
3571.0,201,402.323241
2453.5,201,402.775823
3164.5,201,405.286373
1950.5,201,406.033243
2738.0,201,406.550715
2737.0,201,407.004612
3104.5,201,407.450283
1839.5,201,407.869454
2865.0,201,408.287294
1914.5,201,408.736355
1747.5,201,409.166858
3048.0,201,409.59172
2380.0,201,412.190601
1812.5,201,412.622587
2093.5,201,413.008989
3538.5,201,413.392657
2749.0,201,413.758032
3206.0,201,414.145544
1865.5,201,414.540659
1469.5,201,414.926979
2263.5,201,415.32056
2065.0,201,415.723907
3210.0,201,416.133919
2621.0,201,418.331163
2030.0,201,418.690345
3682.5,201,419.045684
3574.0,201,419.4089
1937.0,201,419.80936
729.5,201,420.221036
1268.5,201,420.609674
2598.0,201,420.984628
1725.0,201,421.369085
3529.5,201,421.778503
3053.5,201,423.913254
2560.5,201,424.307663
2557.5,201,424.716324
3139.5,201,425.137931
3453.5,201,425.537151
3162.0,201,425.936664
1969.5,201,426.313945
3706.0,201,426.694546
3020.0,201,427.063087
2692.5,201,427.439032
2481.0,201,429.513617
3405.5,201,429.890371
2752.0,201,430.29136
1936.5,201,430.675582
3060.5,201,431.061048
873.5,201,431.436898
4002.0,201,431.82595
1616.5,201,432.220987
2525.0,201,432.600413
2725.5,201,432.987447
1955.0,201,435.056643
3161.5,201,435.427627
3964.0,201,435.816262
2377.0,201,436.188567
3244.0,201,436.551504
1937.5,201,436.928083
4707.5,201,437.289893
1404.5,201,437.701397
1188.0,201,438.09211
3760.0,201,438.487072
2039.5,201,440.606044
2288.5,201,441.018727
3697.0,201,441.399421
3576.0,201,441.76969
4072.5,201,442.186624
3690.0,201,442.617815
2681.0,201,443.016656
2531.0,201,443.395715
3791.5,201,443.78825
2027.5,201,444.182802
2970.0,201,444.570116
4589.5,201,446.81721
2806.0,201,447.199797
3936.0,201,447.591404
3729.5,201,447.960347
2945.5,201,448.353155
3039.0,201,448.7511
2393.5,201,449.13521
4412.0,201,449.51591
3345.0,201,449.90627
3974.0,201,450.303553
1992.0,201,452.516865
1773.5,201,452.930547
3192.0,201,453.31258
3585.5,201,453.698657
2805.5,201,454.104633
3896.0,201,454.494398
3852.0,201,454.885996
3654.5,201,455.269249
2811.0,201,455.642026
3922.0,201,456.028747
3585.0,201,458.126012
3827.5,201,458.502399
3929.5,201,458.881322
4646.5,201,459.280176
2945.5,201,459.648987
3653.5,201,460.05214
2718.0,201,460.457726
3235.5,201,460.873012
2785.5,201,461.282108
3494.0,201,461.682092
3056.5,201,463.858239
2658.5,201,464.241657
5084.5,201,464.656749
3474.5,201,465.170151
4047.5,201,465.648321
4013.5,201,466.077821
4747.0,201,466.52009
2263.5,201,466.954838
4248.5,201,467.407111
4625.5,201,467.819933
5390.0,201,470.706306
4211.0,201,471.167084
5538.0,201,471.618971
3701.5,201,472.064276
5349.5,201,472.467391
4028.0,201,472.937931
4322.0,201,473.364516
4074.0,201,473.800836
3266.5,201,474.242424
4702.5,201,474.655586
4046.5,201,477.136748
5251.5,201,477.578554
4789.5,201,477.983653
3936.0,201,478.412051
4809.0,201,478.805047
2987.5,201,479.263432
3710.0,201,479.732824
4067.0,201,480.170605
5849.0,201,480.645346
4465.0,201,481.080895
2748.5,201,481.475815
5423.5,201,483.734691
5065.0,201,484.11136
3316.5,201,484.502858
4577.0,201,484.878381
4934.5,201,485.250638
4999.0,201,485.654261
5555.5,201,486.056542
3851.5,201,486.47379
3306.5,201,486.878423
4979.0,201,487.253406
3813.0,201,489.459412
5037.0,201,489.866155
5003.5,201,490.258942
4452.5,201,490.641113
4651.5,201,491.040089
3502.0,201,491.436999
5975.5,201,491.848572
3894.5,201,492.230495
3819.5,201,492.631162
5117.0,201,493.038841
4690.5,201,495.260367
4440.0,201,495.648144
4302.5,201,496.02114
5801.0,201,496.430827
4056.0,201,496.841478
4092.5,201,497.228556
4531.0,201,497.609923
3776.0,201,498.009525
4607.5,201,498.410363
4293.0,201,498.80579
5074.0,201,501.024453
4316.5,201,501.420948
5372.0,201,501.800196
2923.0,201,502.221025
4669.0,201,502.600075
5944.5,201,502.975868
3122.5,201,503.356273
3673.5,201,503.767039
3397.5,201,504.157346
4194.5,201,504.580357
4633.5,201,506.733395
3244.5,201,507.140535
6583.0,201,507.543271
5921.0,201,507.94901
4625.0,201,508.352248
2872.5,201,508.752748
3225.0,201,509.163967
4056.0,201,509.547215
3381.5,201,509.916202
3667.5,201,510.281771
4398.5,201,510.67455
5240.0,201,512.871272
6091.0,201,513.246947
5328.0,201,513.640186
4685.0,201,514.020965
3824.5,201,514.40679
5442.0,201,514.782136
3513.5,201,515.163608
5584.5,201,515.546543
4448.0,201,515.940119
6071.5,201,516.332062
5020.5,201,518.43187
5674.5,201,518.827584
2319.5,201,519.19468
3701.0,201,519.590465
3521.5,201,519.972378
2572.5,201,520.367236
3667.0,201,520.753952
5049.5,201,521.160994
5916.0,201,521.559737
4508.0,201,521.945569
5389.0,201,524.102482
6169.5,201,524.492658
4452.5,201,524.907756
4910.0,201,525.271398
6220.0,201,525.696434
3810.0,201,526.120638
4761.0,201,526.525448
5263.5,201,526.90287
6552.0,201,527.279723
4817.5,201,527.653981
4405.5,201,529.861083
3587.0,201,530.250672
5604.0,201,530.624966
5621.5,201,531.021399
3593.5,201,531.404245
5769.0,201,531.773122
6161.5,201,532.153303
5596.5,201,532.531391
4016.5,201,532.930188
4156.5,201,533.330307
5075.5,201,535.495227
5589.5,201,535.907971
4581.5,201,536.298256
4093.0,201,536.683942
3986.0,201,537.083734
6471.0,201,537.475812
6312.5,201,537.855217
6026.5,201,538.241151
6824.5,201,538.635283
6278.0,201,539.017811
5489.0,201,539.394406
7317.5,201,541.486856
5612.5,201,541.870927
4205.5,201,542.251592
4769.0,201,542.625549
5273.0,201,543.008273
6765.0,201,543.404298
4155.0,201,543.809464
5799.5,201,544.201832
5551.0,201,544.624818
8075.5,201,545.001489
3261.5,201,547.225829
4323.5,201,547.627519
4831.0,201,548.045822
4764.0,201,548.449005
5258.0,201,548.813102
5219.0,201,549.178056
4136.0,201,549.563406
6170.0,201,549.957822
4739.0,201,550.35097
5651.5,201,550.746675
7313.5,201,552.86639
4552.0,201,553.260089
5588.0,201,553.677274
5584.5,201,554.052098
6627.5,201,554.438444
7185.5,201,554.835542
5530.0,201,555.212719
5337.0,201,555.61645
4498.5,201,556.015693
4546.0,201,556.409799
4064.5,201,558.683036
4170.5,201,559.054109
5841.0,201,559.449485
5568.5,201,559.841297
4617.0,201,560.230096
5504.0,201,560.626746
4039.5,201,561.00936
5300.0,201,561.437707
5293.0,201,561.831252
5281.0,201,562.24044
5558.0,201,564.403637
5757.5,201,564.790374
3182.5,201,565.17767
6525.0,201,565.575495
4444.0,201,565.979633
4170.0,201,566.369529
6109.0,201,566.767064
5707.0,201,567.158065
6606.5,201,567.567493
5060.0,201,567.951286
5473.0,201,568.336139
5898.0,201,570.53681
6048.5,201,571.063186
5570.5,201,571.442993
4922.0,201,571.860225
5325.0,201,572.270324
6209.0,201,572.654884
4734.0,201,573.028173
5596.0,201,573.417811
5134.0,201,573.79624
5848.0,201,574.177816
3806.5,201,576.403437
5418.5,201,576.798615
6016.5,201,577.184535
4967.5,201,577.57009
5903.5,201,577.933616
5593.0,201,578.309391
5187.0,201,578.68466
4152.0,201,579.073836
4834.5,201,579.463049
6235.0,201,579.84202
7402.0,201,582.036157
4940.0,201,582.4184
5813.0,201,582.801441
5841.5,201,583.176299
7770.0,201,583.530549
4670.0,201,583.883291
5758.0,201,584.270863
3665.5,201,584.653191
4956.5,201,585.063851
6720.0,201,585.460665
4855.5,201,587.617826
7354.0,201,587.999486
4844.0,201,588.391884
5677.0,201,588.806996
5152.0,201,589.196304
5788.0,201,589.604283
7656.5,201,590.033939
6073.5,201,590.410735
7027.0,201,590.783423
